time_s,ru,delta_u,sigma_v_eff,delta_t_s
0.00000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.00250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.00500000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.00750000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.01000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.01250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.01500000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.01750000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.02000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.02250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.02500000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.02750000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.03000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.03250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.03500000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.03750000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.04000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.04250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.04500000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.04750000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.05000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.05250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.05500000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.05750000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.06000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.06250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.06500000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.06750000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.07000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.07250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.07500000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.07750000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.08000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.08250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.08500000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.08750000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.09000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.09250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.09500000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.09750000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.10000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.10250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.10500000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.10750000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.11000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.11250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.11500000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.11750000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.12000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.12250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.12500000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.12750000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.13000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.13250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.13500000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.13750000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.14000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.14250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.14500000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.14750000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.15000000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
0.15250000,0.0000000000e+00,0.0000000000e+00,2.0000000000e+02,2.50000000e-03
